İlan no,İlan Oda Sayısı,İlan Salon Sayısı,Net m²,Brüt m²,Banyo Sayısı,Binadaki Kat Sayısı,Aidat,Kira Getirisi,Isıtma Tipi,Bulunduğu Kat,Konut Şekli,Krediye Uygun,Bina Yaşı,İlçe,Fiyat,Yapının Durumu,Kullanım Durumu,Mobilya Durumu
4865558.0,2.0,1,100.0,115.0,1.0,5,,,Kombi (Doğalgaz),1,Ara Kat,Evet,0,Beylikdüzü,1860000.0,Sıfır,Boş,Eşyasız
4752417.0,4.0,1,165.0,190.0,2.0,10-20 arası,0  TL  (aylık),75.000  TL  (aylık),Yerden Isıtma,16,,Evet,31-35 arası,Kadıköy,17650000.0,,Boş,Eşyasız
4865597.0,2.0,1,100.0,110.0,1.0,5,30  TL  (aylık),13.000  TL  (aylık),Kombi (Doğalgaz),3,Ara Kat,Evet,6-10 arası,Esenler,3150000.0,Sıfır,Kiracılı,Eşyasız
4863627.0,1.0,1,42.0,59.0,1.0,20 ve üzeri,0  TL  (aylık),0  TL  (aylık),Merkezi Sistem (Isı Payı Ölçer),12,Ara Kat,Evet,6-10 arası,Ümraniye,2950000.0,,Kiracılı,Sadece Beyaz Eşya
4863487.0,2.0,1,95.0,105.0,2.0,10-20 arası,0  TL  (aylık),0  TL  (aylık),Kombi (Doğalgaz),2,Ara Kat,Evet,6-10 arası,Esenyurt,2300000.0,Sıfır,Boş,Eşyasız
4863389.0,5.0,1,210.0,230.0,2.0,5,,25.000  TL  (aylık),,5,Çatı Dubleksi,Evet,,Sultanbeyli,5750000.0,Sıfır,,Sadece Mutfak
4517000.0,3.0,1,129.0,130.0,1.0,3,0  TL  (aylık),0  TL  (aylık),Kombi (Doğalgaz),Yüksek Giriş,,Evet,11-15 arası,Büyükçekmece,2500000.0,,Boş,Eşyasız
4863646.0,3.0,1,110.0,120.0,2.0,10,,,Kombi (Doğalgaz),4,Ara Kat,Evet,0,Çekmeköy,10500000.0,Sıfır,Boş,Eşyasız
4863704.0,2.0,1,90.0,100.0,1.0,4,,,Kalorifer (Doğalgaz),1,Ara Kat,Evet,3,Arnavutköy,2250000.0,Sıfır,Boş,Eşyasız
4827458.0,1.0,1,95.0,110.0,1.0,8,0  TL  (aylık),0  TL  (aylık),Kombi (Doğalgaz),3,Ara Kat,Evet,3,Beylikdüzü,1239000.0,İkinci El,Mülk Sahibi,Eşyasız
4798528.0,6.0,2,250.0,280.0,2.0,6,150  TL  (aylık),30.000  TL  (aylık),Kombi (Doğalgaz),En Üst Kat,,Evet,0,Küçükçekmece,10000000.0,Sıfır,Boş,Eşyasız
