İlan no,İlan Oda Sayısı,İlan Salon Sayısı,Net m²,Brüt m²,Banyo Sayısı,Binadaki Kat Sayısı,Aidat,Kira Getirisi,Isıtma Tipi,Bulunduğu Kat,Konut Şekli,Krediye Uygun,Bina Yaşı,Fiyat,Yapının Durumu,Kullanım Durumu,Mobilya Durumu,İlçe_Ataşehir,İlçe_Avcılar,İlçe_Bahçelievler,İlçe_Bakırköy,İlçe_Bayrampaşa,İlçe_Bağcılar,İlçe_Başakşehir,İlçe_Beykoz,İlçe_Beylikdüzü,İlçe_Beyoğlu,İlçe_Beşiktaş,İlçe_Büyükçekmece,İlçe_Esenler,İlçe_Esenyurt,İlçe_Eyüpsultan,İlçe_Fatih,İlçe_Gaziosmanpaşa,İlçe_Güngören,İlçe_Kadıköy,İlçe_Kartal,İlçe_Kağıthane,İlçe_Küçükçekmece,İlçe_Maltepe,İlçe_Pendik,İlçe_Sancaktepe,İlçe_Sarıyer,İlçe_Silivri,İlçe_Sultanbeyli,İlçe_Sultangazi,İlçe_Tuzla,İlçe_Zeytinburnu,İlçe_Çekmeköy,İlçe_Ümraniye,İlçe_Üsküdar,İlçe_Şile,İlçe_Şişli
4865558.0,2.0,1,100.0,115.0,1.0,5,,0,3,1,1,1,0,1860000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4752417.0,4.0,1,165.0,190.0,2.0,15,0,75000,2,16,1,1,33,17650000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4865597.0,2.0,1,100.0,110.0,1.0,5,30,13000,3,3,1,1,8,3150000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4863627.0,1.0,1,42.0,59.0,1.0,20,0,0,3,12,1,1,8,2950000.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4863487.0,2.0,1,95.0,105.0,2.0,15,0,0,3,2,1,1,8,2300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4863389.0,5.0,1,210.0,230.0,2.0,5,,25000,0,5,1,1,0,5750000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4517000.0,3.0,1,129.0,130.0,1.0,3,0,0,3,0,1,1,13,2500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4863646.0,3.0,1,110.0,120.0,2.0,10,,0,3,4,1,1,0,10500000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4863704.0,2.0,1,90.0,100.0,1.0,4,,0,2,1,1,1,3,2250000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4827458.0,1.0,1,95.0,110.0,1.0,8,0,0,3,3,1,1,3,1239000.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4798528.0,6.0,2,250.0,280.0,2.0,6,150,30000,3,7,1,1,0,10000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4863248.0,3.0,1,122.0,146.0,2.0,5,,0,3,1,1,0,1,11250000.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4863052.0,3.0,1,100.0,120.0,2.0,5,150,0,3,0,0,1,23,9250000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
